game_id,game_name
0,Alien Swarm
1,Cities: Skylines
2,Deus Ex: Human Revolution
3,Age of Empires II: HD Edition
4,Banished
5,Call of Duty: Black Ops
6,Call of Duty: Black Ops - Multiplayer
7,Call of Duty: Modern Warfare 2
8,Call of Duty: Modern Warfare 2 - Multiplayer
9,Call of Duty: Modern Warfare 3
10,Call of Duty: Modern Warfare 3 - Multiplayer
11,Call of Duty: World at War
12,Half-Life
13,Rise of Nations: Extended Edition
14,The Stanley Parable
15,Thief: Deadly Shadows
16,Total War: ATTILA
17,Worms Armageddon
18,Alan Wake
19,Far Cry® 3
20,Max Payne 3
21,The Walking Dead
22,Torchlight II
23,XCOM: Enemy Unknown
24,7 Days to Die
25,ARK: Survival Evolved
26,Age of Empires® III: Complete Collection
27,Age of Wonders III
28,Alpha Protocol
29,Amnesia: A Machine for Pigs
30,Amnesia: The Dark Descent
31,Awesomenauts
32,Batman™: Arkham Origins
33,BattleBlock Theater
34,Battlefield: Bad Company 2
35,BioShock Infinite
36,Borderlands
37,Broken Age
38,Brothers - A Tale of Two Sons
39,Brütal Legend
40,Bulletstorm
41,Call of Juarez Gunslinger
42,Castle Crashers
43,Cave Story+
44,Chivalry: Medieval Warfare
45,Crusader Kings II
46,Crysis 2 Maximum Edition
47,DARK SOULS™ II
48,DARK SOULS™ II: Scholar of the First Sin
49,Dark Souls: Prepare to Die Edition
50,Darkest Dungeon
51,Darksiders II
52,Dead Island
53,Dear Esther
54,Deus Ex: Game of the Year Edition
55,Dishonored
56,Divinity: Original Sin
57,Divinity: Original Sin Enhanced Edition
58,DmC Devil May Cry
59,Don't Starve
60,Dragon Age: Origins - Ultimate Edition
61,Driver San Francisco
62,Dungeon Defenders
63,Dungeons of Dredmor
64,Dying Light
65,Endless Legend
66,Euro Truck Simulator 2
67,FTL: Faster Than Light
68,Fallout
69,Fallout 4
70,Fallout: New Vegas
71,Galactic Civilizations II: Ultimate Edition
72,Goat Simulator
73,Gone Home
74,Guacamelee! Gold Edition
75,Gunpoint
76,Guns of Icarus Online
77,Hitman: Absolution
78,Hotline Miami
79,Insurgency
80,Just Cause 2
81,Just Cause 2: Multiplayer Mod
82,Killing Floor 2
83,Kingdoms of Amalur: Reckoning™
84,LEGO® MARVEL Super Heroes
85,Left 4 Dead
86,Legend of Grimrock
87,Little Inferno
88,METAL GEAR SOLID V: GROUND ZEROES
89,METAL GEAR SOLID V: THE PHANTOM PAIN
90,Machinarium
91,Magicka
92,Mark of the Ninja
93,Mass Effect 2
94,Metro 2033
95,Metro: Last Light
96,Might & Magic: Heroes VI
97,Monaco
98,Mortal Kombat X
99,Natural Selection 2
100,Nidhogg
